Title,Original Price,Discounted Price,Release Date,Link,Game Description,Recent Reviews Summary,All Reviews Summary,Recent Reviews Number,All Reviews Number,Developer,Publisher,Supported Languages,Popular Tags,Game Features,Minimum Requirements
Baldur's Gate 3,$29.99 ,$29.99 ,"3 Aug, 2023",https://store.steampowered.com/app/1086940/Baldurs_Gate_3/?snr=1_7_7_230_150_1,"Baldur＊s Gate 3 is a story-rich, party-based RPG set in the universe of Dungeons & Dragons, where your choices shape a tale of fellowship and betrayal, survival and sacrifice, and the lure of absolute power.",Overwhelmingly Positive,Very Positive,"- 96% of the 128,900 user reviews in the last 30 days are positive.","- 94% of the 188,617 user reviews for this game are positive.",Larian Studios,Larian Studios,"['English', 'French', 'German', 'Spanish - Spain', 'Polish', 'Russian', 'Simplified Chinese', 'Turkish', 'Portuguese - Brazil', 'Italian', 'Spanish - Latin America', 'Traditional Chinese', 'Ukrainian']","['RPG', 'Choices Matter', 'Character Customization', 'Story Rich', 'Adventure', 'Online Co-Op', 'CRPG', 'Multiplayer', 'Fantasy', 'Turn-Based Combat', 'Dungeons & Dragons', 'Co-op Campaign', 'Strategy', 'Singleplayer', 'Romance', 'Class-Based', 'Dark Fantasy', 'Combat', 'Controller', 'Stealth']","['Single-player', 'Online Co-op', 'LAN Co-op', 'Steam Achievements', 'Full controller support', 'Steam Cloud']",Requires a 64-bit processor and operating system | OS: |  Windows 10 64-bit | Processor: |  Intel I5 4690 / AMD FX 8350 | Memory: |  8 GB RAM | Graphics: |  Nvidia GTX 970 / RX 480 (4GB+ of VRAM) | DirectX: |  Version 11 | Storage: |  150 GB available space | Additional Notes: |  SSD required
Counter-Strike: Global Offensive,$14.99 ,$14.99 ,"21 Aug, 2012",https://store.steampowered.com/app/730/CounterStrike_Global_Offensive/?snr=1_7_7_230_150_1,"Counter-Strike: Global Offensive (CS: GO) expands upon the team-based action gameplay that it pioneered when it was launched 19 years ago. CS: GO features new maps, characters, weapons, and game modes, and delivers updated versions of the classic CS content (de_dust2, etc.).",Very Positive,Very Positive,"- 89% of the 75,284 user reviews in the last 30 days are positive.","- 88% of the 7,428,921 user reviews for this game are positive.","Valve, Hidden Path Entertainment",Valve,"['English', 'Czech', 'Danish', 'Dutch', 'Finnish', 'French', 'German', 'Hungarian', 'Italian', 'Japanese', 'Korean', 'Norwegian', 'Polish', 'Portuguese - Portugal', 'Portuguese - Brazil', 'Romanian', 'Russian', 'Simplified Chinese', 'Spanish - Spain', 'Swedish', 'Thai', 'Traditional Chinese', 'Turkish', 'Bulgarian', 'Ukrainian', 'Greek', 'Spanish - Latin America', 'Vietnamese']","['FPS', 'Shooter', 'Multiplayer', 'Competitive', 'Action', 'Team-Based', 'eSports', 'Tactical', 'First-Person', 'PvP', 'Online Co-Op', 'Co-op', 'Strategy', 'Military', 'War', 'Difficult', 'Trading', 'Realistic', 'Fast-Paced', 'Moddable']","['Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Workshop', 'In-App Purchases', 'Valve Anti-Cheat enabled', 'Stats', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV']",OS: |  Windows? 7/Vista/XP | Processor: |  Intel? Core? 2 Duo E6600 or AMD Phenom? X3 8750 processor or better | Memory: |  2 GB RAM | Graphics: |  Video card must be 256 MB or more and should be a DirectX 9-compatible with support for Pixel Shader 3.0 | DirectX: |  Version 9.0c | Storage: |  15 GB available space
Apex Legends?,Free,Free,"4 Nov, 2020",https://store.steampowered.com/app/1172470/Apex_Legends/?snr=1_7_7_230_150_1,"Apex Legends is the award-winning, free-to-play Hero Shooter from Respawn Entertainment. Master an ever-growing roster of legendary characters with powerful abilities, and experience strategic squad play and innovative gameplay in the next evolution of Hero Shooter and Battle Royale.",Mixed,Very Positive,"- 65% of the 18,581 user reviews in the last 30 days are positive.","- 80% of the 701,597 user reviews for this game are positive.",Respawn Entertainment,Electronic Arts,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Japanese', 'Korean', 'Polish', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese', 'Traditional Chinese', 'Spanish - Latin America', 'Arabic']","['Free to Play', 'Multiplayer', 'Battle Royale', 'Shooter', 'FPS', 'First-Person', 'PvP', 'Action', 'Team-Based', 'Hero Shooter', 'Tactical', 'Sci-fi', 'Survival', 'Character Customization', 'Loot', 'Funny', 'Co-op', 'Lore-Rich', 'Cyberpunk', 'Horror']","['Online PvP', 'Online Co-op', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'In-App Purchases']","Requires a 64-bit processor and operating system | OS: |  64-bit Windows 7 | Processor: |  AMD FX 4350 or Equivalent, Intel Core i3 6300 or Equivalent | Memory: |  6 GB RAM | Graphics: |  AMD Radeon? HD 7730, NVIDIA GeForce? GT 640 | DirectX: |  Version 11 | Network: |  Broadband Internet connection | Storage: |  56 GB available space | Additional Notes: |  ~3.8GB for 1 localized language"
Forza Horizon 5,$34.78 ,$17.39 ,"8 Nov, 2021",https://store.steampowered.com/app/1551360/Forza_Horizon_5/?snr=1_7_7_230_150_1,"Your Ultimate Horizon Adventure awaits! Explore the vibrant open world landscapes of Mexico with limitless, fun driving action in the world＊s greatest cars. Conquer the rugged Sierra Nueva in the ultimate Horizon Rally experience. Requires Forza Horizon 5 game, expansion sold separately.",Very Positive,Very Positive,"- 87% of the 4,120 user reviews in the last 30 days are positive.","- 88% of the 123,162 user reviews for this game are positive.",Playground Games,Xbox Game Studios,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Czech', 'Hungarian', 'Japanese', 'Korean', 'Polish', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese', 'Spanish - Latin America', 'Traditional Chinese', 'Turkish']","['Racing', 'Open World', 'Driving', 'Multiplayer', 'Automobile Sim', 'Realistic', 'Adventure', 'Simulation', 'Exploration', 'Arcade', 'First-Person', 'Atmospheric', 'Sports', 'Co-op', 'PvP', 'Online Co-Op', 'Singleplayer', 'Beautiful', 'Action', 'Third Person']","['Single-player', 'Online PvP', 'Online Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']",Requires a 64-bit processor and operating system | OS: |  Windows 10 version 15063.0 or higher | Processor: |  Intel i5-4460 or AMD Ryzen 3 1200 | Memory: |  8 GB RAM | Graphics: |  NVidia GTX 970 OR AMD RX 470 | DirectX: |  Version 12 | Network: |  Broadband Internet connection | Storage: |  110 GB available space
Call of Duty?,Free,Free,"27 Oct, 2022",https://store.steampowered.com/app/1938090/Call_of_Duty/?snr=1_7_7_230_150_1,"Welcome to Call of Duty? HQ, the home of Call of Duty?: Modern Warfare? III, Call of Duty?: Modern Warfare? II and Warzone?.",Mixed,Mixed,"- 49% of the 8,257 user reviews in the last 30 days are positive.","- 57% of the 236,876 user reviews for this game are positive.","Infinity Ward, Raven Software, Beenox, Treyarch, High Moon Studios, Sledgehammer Games, Activision Shanghai, Demonware, Toys for Bob",Activision,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Korean', 'Polish', 'Russian', 'Traditional Chinese', 'Japanese', 'Spanish - Latin America', 'Arabic', 'Simplified Chinese', 'Portuguese - Brazil']","['FPS', 'Multiplayer', 'Shooter', 'Action', 'Singleplayer', 'Military', 'First-Person', 'War', 'Modern', 'Tactical', 'Violent', 'Co-op', 'Realistic', 'Story Rich', 'Atmospheric', 'Mature', 'Online Co-Op', 'Gore', 'Third-Person Shooter', 'Third Person']","['Single-player', 'Online PvP', 'Online Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Full controller support', 'Captions available', 'In-App Purchases']",Requires a 64-bit processor and operating system | OS: |  Windows? 10 64 Bit (latest update) | Processor: |  Intel? Core? i3-6100 / Core? i5-2500K or AMD Ryzen? 3 1200 | Memory: |  8 GB RAM | Graphics: |  NVIDIA? GeForce? GTX 960 or AMD Radeon? RX 470 - DirectX 12.0 compatible system | DirectX: |  Version 12 | Network: |  Broadband Internet connection | Storage: |  125 GB available space
PUBG: BATTLEGROUNDS,Free,Free,"21 Dec, 2017",https://store.steampowered.com/app/578080/PUBG_BATTLEGROUNDS/?snr=1_7_7_230_150_1,"Play PUBG: BATTLEGROUNDS for free. Land on strategic locations, loot weapons and supplies, and survive to become the last team standing across various, diverse Battlegrounds. Squad up and join the Battlegrounds for the original Battle Royale experience that only?PUBG: BATTLEGROUNDS can offer.",Mixed,Mixed,"- 64% of the 13,945 user reviews in the last 30 days are positive.","- 57% of the 2,209,987 user reviews for this game are positive.","KRAFTON, Inc.","KRAFTON, Inc.","['English', 'Korean', 'Simplified Chinese', 'French', 'German', 'Spanish - Spain', 'Arabic', 'Japanese', 'Polish', 'Portuguese - Portugal', 'Russian', 'Turkish', 'Thai', 'Italian', 'Portuguese - Brazil', 'Traditional Chinese', 'Ukrainian']","['Survival', 'Shooter', 'Battle Royale', 'Multiplayer', 'FPS', 'PvP', 'Third-Person Shooter', 'Action', 'Online Co-Op', 'Tactical', 'Co-op', 'First-Person', 'Strategy', 'Early Access', 'Competitive', 'Third Person', 'Team-Based', 'Difficult', 'Simulation', 'Stealth']","['Online PvP', 'Stats', 'Remote Play on Phone', 'Remote Play on Tablet']",Requires a 64-bit processor and operating system | OS: |  64-bit Windows 10 | Processor: |  Intel Core i5-4430 / AMD FX-6300 | Memory: |  8 GB RAM | Graphics: |  NVIDIA GeForce GTX 960 2GB / AMD Radeon R7 370 2GB | DirectX: |  Version 11 | Network: |  Broadband Internet connection | Storage: |  40 GB available space
Remnant II,$34.99 ,$34.99 ,"25 Jul, 2023",https://store.steampowered.com/app/1282100/Remnant_II/?snr=1_7_7_230_150_1,Remnant II pits survivors of humanity against new deadly creatures and god-like bosses across terrifying worlds. Play solo or co-op with two other friends to explore the depths of the unknown to stop an evil from destroying reality itself.,Very Positive,,"- 82% of the 19,384 user reviews for this game are positive.",,Gunfire Games,Gearbox Publishing,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Japanese', 'Korean', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese']","['Souls-like', 'Action', 'Adventure', 'RPG', 'Dark', 'Third-Person Shooter', 'Shooter', 'Action-Adventure', 'Post-apocalyptic', 'Co-op', 'Combat', 'Third Person', 'Atmospheric', 'Horror', 'Multiplayer', 'PvE', 'Online Co-Op', 'Controller', 'Singleplayer', 'Gore']","['Single-player', 'Online Co-op', 'Steam Achievements', 'Full controller support', 'Steam Cloud']",OS: |  Win 10 | Processor: |  Intel Core i5-7600  / AMD Ryzen 5 2600 | Memory: |  16 GB RAM | Graphics: |  GeForce GTX 1650  / AMD Radeon RX 590 | Storage: |  80 GB available space
Cyberpunk 2077,$29.99 ,$14.99 ,"9 Dec, 2020",https://store.steampowered.com/app/1091500/Cyberpunk_2077/?snr=1_7_7_230_150_1,"Cyberpunk 2077 is an open-world, action-adventure RPG set in the dark future of Night City 〞 a dangerous megalopolis obsessed with power, glamor, and ceaseless body modification.",Very Positive,Very Positive,"- 90% of the 5,312 user reviews in the last 30 days are positive.This product has experienced one or more periods of off-topic review activity.  Based on your preferences, the reviews within these periods have been excluded from this product's Review Score.","- 80% of the 552,224 user reviews for this game are positive.This product has experienced one or more periods of off-topic review activity.  Based on your preferences, the reviews within these periods have been excluded from this product's Review Score.",CD PROJEKT RED,CD PROJEKT RED,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Arabic', 'Czech', 'Hungarian', 'Japanese', 'Korean', 'Polish', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese', 'Spanish - Latin America', 'Thai', 'Traditional Chinese', 'Turkish']","['Cyberpunk', 'Open World', 'Nudity', 'RPG', 'Singleplayer', 'Sci-fi', 'Futuristic', 'FPS', 'Mature', 'Story Rich', 'First-Person', 'Atmospheric', 'Exploration', 'Action', 'Violent', 'Great Soundtrack', 'Action RPG', 'Adventure', 'Character Customization', 'Immersive Sim']","['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support', 'Steam Cloud']","Requires a 64-bit processor and operating system | OS: |  Windows 10 | Processor: |  Intel Core i5-3570K or AMD FX-8310 | Memory: |  8 GB RAM | Graphics: |  NVIDIA GeForce GTX 970 or AMD Radeon RX 470 | DirectX: |  Version 12 | Storage: |  70 GB available space | Additional Notes: |  In this game you will encounter a variety of visual effects that may provide seizures or loss of consciousness in a minority of people. If you or someone you know experiences any of the above symptoms while playing, stop and seek medical attention immediately."
Rust,$19.99 ,$19.99 ,"8 Feb, 2018",https://store.steampowered.com/app/252490/Rust/?snr=1_7_7_230_150_1,"The only aim in Rust is to survive. Everything wants you to die - the island＊s wildlife and other inhabitants, the environment, other survivors. Do whatever it takes to last another night.",Very Positive,Very Positive,"- 86% of the 10,393 user reviews in the last 30 days are positive.","- 87% of the 781,742 user reviews for this game are positive.",Facepunch Studios,Facepunch Studios,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Japanese', 'Korean', 'Russian', 'Simplified Chinese', 'Ukrainian', 'Polish', 'Portuguese - Portugal', 'Turkish', 'Arabic', 'Czech', 'Danish', 'Dutch', 'Finnish', 'Greek', 'Norwegian', 'Portuguese - Brazil', 'Spanish - Latin America', 'Swedish', 'Traditional Chinese', 'Vietnamese']","['Survival', 'Crafting', 'Multiplayer', 'Open World', 'Open World Survival Craft', 'Building', 'PvP', 'Sandbox', 'Adventure', 'First-Person', 'Action', 'Nudity', 'FPS', 'Co-op', 'Shooter', 'Online Co-Op', 'Indie', 'Early Access', 'Post-apocalyptic', 'Simulation']","['MMO', 'Online PvP', 'Online Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'In-App Purchases', 'Valve Anti-Cheat enabled', 'Stats', 'Remote Play on Tablet']",Requires a 64-bit processor and operating system | OS: |  Windows 8.1 64bit | Processor: |  Intel Core i7-3770 / AMD FX-9590 or better | Memory: |  10 GB RAM | Graphics: |  GTX 670 2GB / AMD R9 280 better | DirectX: |  Version 11 | Network: |  Broadband Internet connection | Storage: |  25 GB available space | Additional Notes: |  SSD is highly recommended or expect longer than average load times.
NARAKA: BLADEPOINT,Free,Free,"11 Aug, 2021",https://store.steampowered.com/app/1203220/NARAKA_BLADEPOINT/?snr=1_7_7_230_150_1,"Dive into the legends of the Far East in NARAKA: BLADEPOINT; team up with friends in fast-paced melee fights for a Battle Royale experience unlike any other. Find your playstyle with a varied cast of heroes with unique skills. More than 20 million players have already joined the fray, play free now!",Mostly Positive,,"- 75% of the 146,529 user reviews for this game are positive.This product has experienced one or more periods of off-topic review activity.  Based on your preferences, the reviews within these periods have been excluded from this product's Review Score.",,24 Entertainment,NetEase Games Global,"['English', 'Simplified Chinese', 'Traditional Chinese', 'Japanese', 'Korean', 'French', 'German', 'Spanish - Spain', 'Russian', 'Turkish', 'Portuguese - Portugal', 'Vietnamese', 'Thai']","['Battle Royale', 'Multiplayer', 'Martial Arts', 'PvP', 'Action', 'Female Protagonist', 'Third Person', 'Survival', 'Character Customization', 'Massively Multiplayer', 'Hack and Slash', 'Fighting', 'Swordplay', 'Parkour', 'Adventure', 'Anime', 'Mature', 'Violent', 'Gore', 'Free to Play']","['Online PvP', 'In-App Purchases', 'Partial Controller Support']",OS: |  Windows 7 64-bit or newer | Processor: |  Intel i5 4th generation or AMD FX 6300 or equivalent | Memory: |  8 GB RAM | Graphics: |  NVIDIA GeForce GTX 750TI or equivalent | DirectX: |  Version 11 | Network: |  Broadband Internet connection | Storage: |  35 GB available space | Additional Notes: |  a) Can run at 720p/60fps; b) We advise you install the game on an SSD for a more streamlined experience. c) Requires ※Windows Memory integrity and VBS enablement§ to be disabled
