Name,Link,Distributer,Developer,Release Date,Also On,Summary,Metascore,Meta Status,# of Critic Reviews,Critic Positive,Critic Mixed,Critic Negative,Userscore,Userscore Status,# of User Reviews,User Positive,User Mixed,User Negative,Genres,# Of Players,Rating,Awards
disco-elysium-the-final-cut,https://www.metacritic.com/game/pc/disco-elysium-the-final-cut,ZA/UM,ZA/UM,30-Mar-21,"iPhone/iPad, PlayStation 4, PlayStation 5, Stadia, Switch, Xbox One, Xbox Series X","Disco Elysium - The Final Cut is the definitive edition of the smash-hit RPG. Pursue your political dreams in new quests, meet and question more of the city's locals, and explore a whole extra area. Full voice-acting, controller support, and expanded language options also included. Get even more out of this award-winning open world. You're a detective with a unique skill system at your disposal and a whole city block to carve your path across. Interrogate unforgettable characters, crack murders, or take bribes. Become a hero or an absolute disaster of a human being. Collapse",97,universal acclaim,11,11,0,0,8.3,generally favorable reviews,797,124,15,28,"Role-Playing, General, Western-Style",No Online Multiplayer,M,"#1 Best PC Game of 2021
#24 Most Discussed PC Game of 2021"
half-life-2,https://www.metacritic.com/game/pc/half-life-2,VU Games,Valve Software,16-Nov-04,,"[Metacritic's 2004 PC Game of the Year] By taking the suspense, challenge and visceral charge of the original, and adding startling new realism and responsiveness, Half-Life 2 opens the door to a world where the player's presence affects everything around him, from the physical environment to the behaviors -- even the emotions -- of both friends and enemies. The player again picks up the crowbar of research scientist Gordon Freeman, who finds himself on an alien-infested Earth being picked to the bone, its resources depleted, its populace dwindling. Freeman is thrust into the unenviable role of rescuing the world from the wrong he unleashed back at Black Mesa. And a lot of people -- people he cares about -- are counting on him. [Vivendi Universal] Collapse",96,universal acclaim,81,81,0,0,9.2,universal acclaim,12498,2114,158,112,"Action, Shooter, Shooter, First-Person, Sci-Fi, Sci-Fi, Arcade",No Online Multiplayer,M,"#1 Best PC Game of 2004
#1 Most Discussed PC Game of 2004
#1 Most Shared PC Game of 2004"
grand-theft-auto-v,https://www.metacritic.com/game/pc/grand-theft-auto-v,Rockstar Games,Rockstar North,13-Apr-15,"PlayStation 3, PlayStation 4, PlayStation 5, Xbox 360, Xbox One, Xbox Series X","Los Santos: a sprawling sun-soaked metropolis full of self-help gurus, starlets and fading celebrities, once the envy of the Western world, now struggling to stay alive in a time of economic uncertainty and cheap reality TV. Amidst the turmoil, three very unique criminals plot their own chances of survival and success: Franklin, a street hustler looking for tangible opportunities and serious money; Michael, a professional ex-con whose retirement is less rosy than he figured it would be; and Trevor, a violent dude driven by the opportunity for a cheap high and his next big score. With options at a premium, the crew risks it all in a myriad of daring and dangerous heists that could set them up for life. Collapse",96,universal acclaim,57,56,1,0,7.8,generally favorable reviews,8804,812,204,378,"Modern, Action Adventure, Open-World",32,M,"#1 Best PC Game of 2015
#3 Most Discussed PC Game of 2015
#13 Most Shared PC Game of 2015"
the-orange-box,https://www.metacritic.com/game/pc/the-orange-box,EA Games,Valve Software,10-Oct-07,"PlayStation 3, Xbox 360","Games included in The Orange Box compilation: The original Half-Life 2 - The player again picks up the crowbar of research scientist Gordon Freeman, who finds himself on an alien-infested Earth being picked to the bone, its resources depleted, its populace dwindling. Freeman is thrust into the unenviable role of rescuing the world from the wrong he unleashed back at Black Mesa. And a lot of people - people he cares about - are counting on him. Half-Life 2: Episode One - The player reprises his role of Dr. Freeman, who must immediately face the repercussions of his actions in City 17 and the Citadel. Freeman reconnects with Alyx Vance and her robot, Dog, as they continue their support of the resistance's battle against the Combine forces. Half-Life 2: Episode Two -- the second installment in Valve's episodic trilogy advances the award-winning story, leading the player to new locations outside of City 17. Portal - a pioneering type of single player action game that rewrites the rules for how players approach and manipulate their environment 每 much like how Half-Life 2's Gravity Gun reinvented the way gamers interact with objects in the game. Team Fortress 2 - an all-new version of the legendary title that spawned team based multiplayer action games. The game's daring new art style features the most advanced graphics of any Source-based game released to date. [Valve Software] Collapse",96,universal acclaim,34,34,0,0,9.1,universal acclaim,2231,251,9,4,"Action, Miscellaneous, Shooter, Compilation, First-Person, Sci-Fi",32,M,"#1 Best PC Game of 2007
#8 Most Discussed PC Game of 2007
#7 Most Shared PC Game of 2007"
half-life,https://www.metacritic.com/game/pc/half-life,Sierra Entertainment,Valve Software,19-Nov-98,PlayStation 2,"Half-Life combines great storytelling in the tradition of Stephen King with intense action and advanced technology to create a frighteningly realistic world where players need to think smart to survive. Half-Life has won more than 50 Game of the Year awards from publications around the world, and was named 'Best PC Game Ever' in PC Gamer's November 1999 issue. [Sierra] Collapse",96,universal acclaim,24,24,0,0,9.1,universal acclaim,5557,737,47,21,"Action, Shooter, Shooter, First-Person, Sci-Fi, Sci-Fi, Arcade",,M,"#1 Best PC Game of 1998
#1 Most Discussed PC Game of 1998
#1 Most Shared PC Game of 1998"
bioshock,https://www.metacritic.com/game/pc/bioshock,2K Games,"Irrational Games, 2K Marin",21-Aug-07,"iPhone/iPad, PlayStation 3, Xbox 360","Going beyond ""run and gun corridors,"" ""monster-closet AIs"" and static worlds, BioShock creates a living, unique and unpredictable FPS experience. After your plane crashes into icy uncharted waters, you discover a rusted bathysphere and descend into Rapture, a city hidden beneath the sea. Constructed as an idealistic society for a hand picked group of scientists, artists and industrialists, the idealism is no more. Now the city is littered with corpses, wildly powerful guardians roam the corridors as little girls loot the dead, and genetically mutated citizens ambush you at every turn. Take control of your world by hacking mechanical devices, commandeering security turrets and crafting unique items critical to your very survival. Upgrade your weapons with ionic gels, explosives and toxins to customize them to the enemy and environment. Genetically modify your body through dozens of Plasmid Stations scattered throughout the city, empowering you with fantastic and often grotesque abilities. Explore a living world powered by Ecological A.I., where the inhabitants have interesting and consequential relationships with one another that impact your gameplay experience. Experience truly next generation graphics that vividly illustrate the forlorn art deco city, highlighted by the most detailed and realistic water effects ever developed in a video game. Make meaningful choices and mature decisions, ultimately culminating in the grand question: do you exploit the innocent survivors of Rapture...or save them? [2K Games] Collapse",96,universal acclaim,44,44,0,0,8.6,generally favorable reviews,5887,735,158,94,"Action, Shooter, Shooter, First-Person, Sci-Fi, Sci-Fi, Arcade",No Online Multiplayer,M,"#2 Best PC Game of 2007
#3 Most Discussed PC Game of 2007
#2 Most Shared PC Game of 2007"
baldurs-gate-ii-shadows-of-amn,https://www.metacritic.com/game/pc/baldurs-gate-ii-shadows-of-amn,Interplay,BioWare,24-Sep-00,,"An epic continuation of the story that began in ""Baldur's Gate,"" this RPG is set along the southern portion of the Sword Coast, a detailed and rich area of the Forgotten Realms called Amn. It features 300 spells and 130-plus monster types compared to only 130 spells and 60 monster types in Baldur's Gate. [Interplay] Collapse",95,universal acclaim,30,30,0,0,9.1,universal acclaim,1549,235,5,8,"Role-Playing, PC-style RPG, PC-style RPG, Western-Style",6,T,"#1 Best PC Game of 2000
#3 Most Discussed PC Game of 2000
#1 Most Shared PC Game of 2000"
persona-5-royal,https://www.metacritic.com/game/pc/persona-5-royal,"Sega , Atlus",Atlus,21-Oct-22,"PlayStation 4, PlayStation 5, Switch, Xbox One, Xbox Series X","Prepare for an all-new RPG experience in Persona 5 Royal based in the universe of the award-winning series, Persona! Don the mask of Joker and join the Phantom Thieves of Hearts. Break free from the chains of modern society and stage grand heists to infiltrate the minds of the corrupt and make them change their ways! Persona 5 Royal is packed with new characters, confidants, story depth, new locations to explore, and a new grappling hook mechanic for stealthy access to new areas. With a new semester at Shujin Academy, get ready to strengthen your abilities in the metaverse and in your daily life. Persona 5 Royal presents a unique visual style and award nominated composer Shoji Meguro returns with an all-new soundtrack. Explore Tokyo, unlock new Personas, customize your own personal Thieves Den, discover a never-before-seen story arc, cutscenes, alternate endings, and more! Even for the most seasoned Phantom Thieves among us, Persona 5 Royal is a new challenge to defy conventions, discover the power within, and fight for justice. Wear the mask. Reveal your truth. Collapse",95,universal acclaim,13,13,0,0,8.4,generally favorable reviews,313,68,6,6,"Role-Playing, Japanese-Style",No Online Multiplayer,M,"#1 Best PC Game of 2022
#30 Most Discussed PC Game of 2022"
portal-2,https://www.metacritic.com/game/pc/portal-2,Valve Software,Valve Software,18-Apr-11,"PlayStation 3, Xbox 360","Valve is working on a full-length sequel to its award-winning, mind-bending puzzle action game for the Xbox 360 and PC.",95,universal acclaim,52,51,1,0,9.1,universal acclaim,9003,2007,113,32,"Action, Shooter, Shooter, First-Person, Sci-Fi, Sci-Fi, Arcade",,E10+,"#1 Best PC Game of 2011
#2 Most Discussed PC Game of 2011
#6 Most Shared PC Game of 2011"
the-elder-scrolls-v-skyrim,https://www.metacritic.com/game/pc/the-elder-scrolls-v-skyrim,Bethesda Softworks,Bethesda Game Studios,10-Nov-11,"PlayStation 3, Xbox 360","The next chapter in the Elder Scrolls saga arrives from the Bethesda Game Studios. Skyrim reimagines the open-world fantasy epic, bringing to life a complete virtual world open for you to explore any way you choose. Play any type of character you can imagine, and do whatever you want; the legendary freedom of choice, storytelling, and adventure of The Elder Scrolls is realized like never before. Skyrim's new game engine brings to life a complete virtual world with rolling clouds, rugged mountains, bustling cities, lush fields, and ancient dungeons. Choose from hundreds of weapons, spells, and abilities. The new character system allows you to play any way you want and define yourself through your actions. Battle ancient dragons like you've never seen. As Dragonborn, learn their secrets and harness their power for yourself. Collapse",94,universal acclaim,32,32,0,0,8.4,generally favorable reviews,12626,1873,357,373,"Role-Playing, First-Person, First-Person, Western-Style",No Online Multiplayer,M,"#2 Best PC Game of 2011
#1 Most Discussed PC Game of 2011
#2 Most Shared PC Game of 2011"
