,fps,img_src,name
0,"['', '11-11: Memories Retold\r\n11-11:复述记忆', '', '1080p', '1080p', '稳定30fps', '稳定30fps', '', '', '1080p', '稳定30fps', '']",https://image.api.playstation.com/trophy/np/NPWR16758_00_00548DD319C6ACA6DA2E8525352899EF76A76B47C1/7025747510C01174B050BB0035A7363C5257152C.PNG,"13 Sentinels: Aegis Rim
十三机兵防卫圈"
1,"['', '2160p', '2160p', '稳定60fps', '稳定60fps', '', '', '2160p', '稳定60fps', '']",https://image.api.playstation.com/trophy/np/NPWR14115_00_007F3E983AE99E3B16B5B0BB2B3DDAB9337CB8C2E4/DADA8659C56AD640D1B57F965B09DFB615474D87.PNG,"2064: Read Only Memories
2064: 存储大战"
2,"['', '1080p', '1080p', '稳定60fps', '稳定60fps', '', '', '1080p', '稳定60fps', '']",https://image.api.playstation.com/trophy/np/NPWR14085_00_00CF2A5DDE4CE828FBB075AE949275977C7977B1A3/536CE97BAF880FA8C6D87AD3BF6655ED19F14096.PNG,"99Vidas
99条命"
3,"['', '1080p', '1080p', '稳定60fps', '稳定60fps', '', '', '1080p', '稳定60fps', '']",https://image.api.playstation.com/trophy/np/NPWR13807_00_0005393E3860CA5CB4E40F9E6E03FD99D270844DE7/D850F671EA8E1E90321BA8305DD40726155257E6.PNG,"A Hat in Time
时光之帽"
4,"['', '1080p', '1080p', '30fps 卡顿', '30fps 卡顿', '', '', '1080p', '30fps 卡顿', '']",https://image.api.playstation.com/trophy/np/NPWR11234_00_00CBB876963299D0183BE0D1EB680CEAE2E59002FE/027A538FA28DB176BAD0EE4DF64F39E6C86B24FF.PNG,"ABZU
"
5,"['', '1350p', '1350p', '40fps', '40fps', '提升了鱼的数量', '提升了鱼的数量', '1350p', '40fps', '提升了鱼的数量']",https://image.api.playstation.com/trophy/np/NPWR15208_00_008052A2DD9AEADA16BAFDA9AC33A4122E312AE84E/50111D4F28AE3F1E0CF4FFAB590C2F6053B95BAC.PNG,"AER: Memories of Old
AER:古老的记忆"
6,"['', '1080p', '1080p', '稳定30fps', '稳定30fps', '', '', '1080p', '稳定30fps', '']",https://image.api.playstation.com/trophy/np/NPWR12128_00_0012880DBC94ADC820F12FC201F1A5879223A25EE0/3BFB3D7DB4D527B26388D13B567B950C95E4A0D0.PNG,"ARK: Survival Evolved
方舟 生存进化"
7,"['', '720p', '720p', '稳定60fps', '稳定60fps', '', '', '720p', '稳定60fps', '', '', '1080p', '1080p', '60fps', '60fps', '', '', '1080p', '60fps', '']",https://image.api.playstation.com/trophy/np/NPWR13832_00_00B110DAF07D6D313EBD0E75AF2F75***10F392105/526C86693FEF80A50D565F70D2C2DDFF026DA9AD.PNG,"Absolver
赦免者"
8,"['', '1080p', '1080p', '稳定30fps', '稳定30fps', '', '', '1080p', '稳定30fps', '']",https://image.api.playstation.com/null.png,"Ace Combat 5: The Unsung War
皇牌空战5:未颂的战争"
9,"['', '1080p', '1080p', '稳定60fps', '稳定60fps', '', '', '1080p', '稳定60fps', '']",https://image.api.playstation.com/trophy/np/NPWR11036_00_00DB8890E8D9630379CBFD16EF9F36534BD43616B1/94AF70B6DB32B044B7587B4C9E1C43E4188BA5F9.PNG,"Ace Combat 7: Skies Unknown
皇牌空战7 未知天际"
10,"['', '1080p', '1080p', '稳定60fps', '稳定60fps', '', '', '1080p', '稳定60fps', '']",https://image.api.playstation.com/null.png,"Adrift
"
11,"['', '1080p', '1080p', '60fps', '60fps', '', '', '1080p', '60fps', '']",https://image.api.playstation.com/trophy/np/NPWR09497_00_00D814DC99147DB70C4B75C941116A494736D8B643/129A43F77BC2AF3FCF9031ED6208AED4CC2903BE.PNG,"Agents of Mayhem
混乱特工"
12,"['', '1080p', '1080p', '60fps', '60fps', '提升了模型精度 粒子和阴影效果 NPC', '提升了模型精度 粒子和阴影效果 NPC', '1080p', '60fps', '提升了模型精度 粒子和阴影效果 NPC']",https://www.psnine.com/00890060D2929A11B534D16A03054634A69E5A0BFC/2470E4D3574C83B1AECD38C9F13C89244BC02F25,"Alien: Isolation
异形 孤立"
13,"['', '1080p', '1080p', '稳定30fps', '稳定30fps', '', '', '1080p', '稳定30fps', '']",https://image.api.playstation.com/trophy/np/NPWR09388_00_00866B1B566A1E960E8577E8D7B7CBF0C6627A8934/5BCC4DF1FD3319A12D88B68D83D4FC24907BB249.PNG,"Alienation
异化国度"
14,"['', '1080p', '1080p', '稳定30fps', '稳定30fps', '', '', '1080p', '稳定30fps', '']",https://image.api.playstation.com/trophy/np/NPWR11532_00_0000F25C9B826524AE911502545B3CFD983991A2D8/0AAA950C3D2956E6A7E12A96554DA7017BB5E93A.PNG,"Amnesia Collection
失忆症 合集"
15,"['', '1080p', '1080p', '60fps', '60fps', 'A Machine for Pigs', 'A Machine for Pigs', '1080p', '60fps', 'A Machine for Pigs', '', '1080p', '1080p', '稳定60fps', '稳定60fps', 'The Dark Descent', 'The Dark Descent', '1080p', '稳定60fps', 'The Dark Descent']",https://image.api.playstation.com/trophy/np/NPWR08945_00_00089EA976775ACEE7AC6AE9CA7BD489927EE7F48D/B05EDF7D7493C0CD3CA8ABA2627A4E5C3CEF5904.PNG,"Amplitude [2016]
振幅 [2016]"
16,"['', '1080p', '1080p', '稳定60fps', '稳定60fps', '', '', '1080p', '稳定60fps', '']",https://image.api.playstation.com/trophy/np/NPWR06397_00_003A7579389F0D9F085EB85BE14EBAF5555E216715/D9F868BBF1743098BCF390B724CBA89796B474F0.PNG,"Another World: 20TH Anniversary Edition
另一个世界：20周年纪念版"
17,"['', '1080p', '1080p', '10-20fps', '10-20fps', '', '', '1080p', '10-20fps', '']",https://image.api.playstation.com/trophy/np/NPWR11262_00_0070E51C3CA594EB2E7139094E9A47175C695DFBB0/8916095F6CBEA64912910E7193A862601B78DB07.PNG,"Anthem
圣歌"
18,"['', '动态2160c [2160c]', '动态2160c [2160c]', '稳定30fps', '稳定30fps', '', '', '动态2160c [2160c]', '稳定30fps', '']",https://image.api.playstation.com/trophy/np/NPWR08759_00_003F0D62A434075593C1A98D872FFD211C940A9085/8D7645D9A6DAB5CAED0F5D8932EF5F6D89E2B86A.PNG,"Ape Escape 2
捉猴啦2"
19,"['', '1080s', '1080s', '60fps', '60fps', '画面Bug', '画面Bug', '1080s', '60fps', '画面Bug']",https://image.api.playstation.com/trophy/np/NPWR15848_00_008BC9A05BFCFBD29B41A5754F800C13CEFABEF9A6/23AF0541103856EFD84691686E19081C4F3A20DE.PNG,"Apex Legends
Apex 英雄"
20,"['', '动态1440p [~ 1440p]', '动态1440p [~ 1440p]', '60fps', '60fps', '', '', '动态1440p [~ 1440p]', '60fps', '']",https://image.api.playstation.com/trophy/np/NPWR10829_00_00742B84FD1A81416A00E1A505D6F24A0761DE0330/840E6D3502CADF56B8162922CF2860832C50FFC8.PNG,"Aragami
荒神"
21,"['', '1080p', '1080p', '60fps', '60fps', '', '', '1080p', '60fps', '']",https://image.api.playstation.com/trophy/np/NPWR08200_00_002780320BA9BA953A054FA19A0037C3FC48C1CA16/F7EBB6EA8C6266FD1E42135462F537C7A5E37A4B.PNG,"ArcaniA: The Complete Tale
阿卡尼亚:完全版"
22,"['', '1080p', '1080p', '60fps', '60fps', '', '', '1080p', '60fps', '']",https://image.api.playstation.com/trophy/np/NPWR09622_00_00BD0BB481C0153005348162F9452F842EA37E6A69/11D5E23D79C5EDEBFE4BADD207A89F1024E330E1.PNG,"Armello
阿门罗"
23,"['', '1080p', '1080p', '稳定60fps', '稳定60fps', '', '', '1080p', '稳定60fps', '']",https://image.api.playstation.com/trophy/np/NPWR13822_00_00E63FD8AB71E35431D284C875D26290C020A6ED1A/DEE0D4E5A10A52EA06309E73E38FDA92B759C1DC.PNG,"Assassin's Creed Odyssey
刺客信条 奥德赛"
24,"['', '动态1620t [~ 1620p]', '动态1620t [~ 1620p]', '稳定30fps', '稳定30fps', '', '', '动态1620t [~ 1620p]', '稳定30fps', '']",https://image.api.playstation.com/trophy/np/NPWR11424_00_00B0C1B25B2BC046B57977D1690CE5A22AFC430A01/FD3786571EEA68F65321230E711DCAE92BC53794.PNG,"Assassin's Creed Origins
刺客信条 起源"
25,"['', '动态1800p [~ 1800p]', '动态1800p [~ 1800p]', '30fps', '30fps', '提升了阴影效果', '提升了阴影效果', '动态1800p [~ 1800p]', '30fps', '提升了阴影效果']",https://image.api.playstation.com/trophy/np/NPWR06600_00_00AFD97060968F822BF934F9BA406EF41310E6D63F/DA1157CCDD3B5A79EECCFFD97A5730424460FA91.PNG,"Assassin's Creed Unity
刺客信条 大***"
26,"['', '900p', '900p', '60fps 掉帧', '60fps 掉帧', '需要1.0版本', '需要1.0版本', '900p', '60fps 掉帧', '需要1.0版本', '', '900p', '900p', '稳定30fps', '稳定30fps', '', '', '900p', '稳定30fps', '']",https://image.api.playstation.com/trophy/np/NPWR08934_00_00E288AF3E17A5F8897811AA48E3DBE84491F57F4E/C39198C362F2E6A41CD3E5D274199D5F6E5179A7.PNG,"Assassins Creed Syndicate
刺客信条 枭雄"
27,"['', '1620p', '1620p', '30fps 卡顿', '30fps 卡顿', '严重画面Bug', '严重画面Bug', '1620p', '30fps 卡顿', '严重画面Bug']",https://image.api.playstation.com/trophy/np/NPWR18965_00_005FDABFCF24C615F4ED1718E0D3217E1D30F7A1F4/21744CEF9E995B110746FEB3F504E44333F86EAB.PNG,"Assetto Corsa Competizione
神力科莎"
28,"['', '动态1800p [~ 1800p]', '动态1800p [~ 1800p]', '稳定60fps', '稳定60fps', '', '', '动态1800p [~ 1800p]', '稳定60fps', '']",https://image.api.playstation.com/trophy/np/NPWR19630_00_00C77202841E234BFFFD3A3F1E64A9E127F5411ED4/C3D138CADBE7C6B49E003BAC595D77970E3D8CA0.PNG,"Atelier Ryza: Ever Darkness and the Secret Hideout
莱莎的炼金工房 ～常暗女王与秘密藏身处～"
29,"['', '2160p', '2160p', '稳定30fps', '稳定30fps', '', '', '2160p', '稳定30fps', '']",https://image.api.playstation.com/trophy/np/NPWR13730_00_00835DF15DB84FE3C9A7D058CA40FA0BDB43009120/C7F272680CC0F8D66FFE81202F22B6B5EC206F1B.PNG,"Attack on Titan 2
进击的巨人2"
