code,name,market,catagory,type
301166,优宁维,A股,沪深A股,股票
300917,特发服务,A股,沪深A股,股票
300813,泰林生物,A股,沪深A股,股票
688105,诺唯赞,A股,沪深A股,股票
301047,义翘神州,A股,沪深A股,股票
300911,亿田智能,A股,沪深A股,股票
300986,志特新材,A股,沪深A股,股票
301239,普瑞眼科,A股,沪深A股,股票
300755,华致酒行,A股,沪深A股,股票
300482,万孚生物,A股,沪深A股,股票
301087,可孚医疗,A股,沪深A股,股票
300199,翰宇药业,A股,沪深A股,股票
688185,康希诺,A股,沪深A股,股票
688068,热景生物,A股,沪深A股,股票
688007,光峰科技,A股,沪深A股,股票
301005,超捷股份,A股,沪深A股,股票
300795,米奥会展,A股,沪深A股,股票
300716,国立科技,A股,沪深A股,股票
688137,近岸蛋白,A股,沪深A股,股票
688298,东方生物,A股,沪深A股,股票
300212,易华录,A股,沪深A股,股票
300295,三六五网,A股,沪深A股,股票
688767,博拓生物,A股,沪深A股,股票
688179,阿拉丁,A股,沪深A股,股票
301115,建科股份,A股,沪深A股,股票
000918,嘉凯城,A股,沪深A股,股票
300165,天瑞仪器,A股,沪深A股,股票
002146,荣盛发展,A股,沪深A股,股票
600748,上实发展,A股,沪深A股,股票
000908,景峰医药,A股,沪深A股,股票
000656,金科股份,A股,沪深A股,股票
000620,新华联,A股,沪深A股,股票
600322,天房发展,A股,沪深A股,股票
000514,渝开发,A股,沪深A股,股票
000797,中国武夷,A股,沪深A股,股票
000671,阳光城,A股,沪深A股,股票
000965,天保基建,A股,沪深A股,股票
600824,益民集团,A股,沪深A股,股票
000069,华侨城Ａ,A股,沪深A股,股票
000978,桂林旅游,A股,沪深A股,股票
600533,栖霞建设,A股,沪深A股,股票
002162,悦心健康,A股,沪深A股,股票
002059,云南旅游,A股,沪深A股,股票
600237,铜峰电子,A股,沪深A股,股票
600266,城建发展,A股,沪深A股,股票
000011,深物业A,A股,沪深A股,股票
002426,胜利精密,A股,沪深A股,股票
002875,安奈儿,A股,沪深A股,股票
000632,三木集团,A股,沪深A股,股票
601636,旗滨集团,A股,沪深A股,股票
600606,绿地控股,A股,沪深A股,股票
600622,光大嘉宝,A股,沪深A股,股票
002420,毅昌科技,A股,沪深A股,股票
603199,九华旅游,A股,沪深A股,股票
605577,龙版传媒,A股,沪深A股,股票
002398,垒知集团,A股,沪深A股,股票
002853,皮阿诺,A股,沪深A股,股票
601858,中国科传,A股,沪深A股,股票
603136,天目湖,A股,沪深A股,股票
002926,华西证券,A股,沪深A股,股票
002561,徐家汇,A股,沪深A股,股票
002788,鹭燕医药,A股,沪深A股,股票
603237,五芳斋,A股,沪深A股,股票
002150,通润装备,A股,沪深A股,股票
002728,特一药业,A股,沪深A股,股票
601007,金陵饭店,A股,沪深A股,股票
600984,建设机械,A股,沪深A股,股票
600743,华远地产,A股,沪深A股,股票
600675,中华企业,A股,沪深A股,股票
600624,复旦复华,A股,沪深A股,股票
600340,华夏幸福,A股,沪深A股,股票
003027,同兴环保,A股,沪深A股,股票
003012,东鹏控股,A股,沪深A股,股票
002153,石基信息,A股,沪深A股,股票
002033,丽江股份,A股,沪深A股,股票
001338,永顺泰,A股,沪深A股,股票
000961,中南建设,A股,沪深A股,股票
603773,沃格光电,A股,沪深A股,股票
600833,第一医药,A股,沪深A股,股票
000001,平安银行,A股,沪深A股,股票
603076,乐惠国际,A股,沪深A股,股票
603289,泰瑞机器,A股,沪深A股,股票
002142,宁波银行,A股,沪深A股,股票
000002,万科Ａ,A股,沪深A股,股票
000736,中交地产,A股,沪深A股,股票
002789,建艺集团,A股,沪深A股,股票
002612,朗姿股份,A股,沪深A股,股票
600138,中青旅,A股,沪深A股,股票
002918,蒙娜丽莎,A股,沪深A股,股票
600007,中国国贸,A股,沪深A股,股票
600749,西藏旅游,A股,沪深A股,股票
601155,新城控股,A股,沪深A股,股票
600325,华发股份,A股,沪深A股,股票
600791,京能置业,A股,沪深A股,股票
002462,嘉事堂,A股,沪深A股,股票
600153,建发股份,A股,沪深A股,股票
000888,峨眉山Ａ,A股,沪深A股,股票
002314,南山控股,A股,沪深A股,股票
002246,北化股份,A股,沪深A股,股票
600051,宁波联合,A股,沪深A股,股票
603378,亚士创能,A股,沪深A股,股票
002367,康力电梯,A股,沪深A股,股票
000014,沙河股份,A股,沪深A股,股票
000608,阳光股份,A股,沪深A股,股票
600657,信达地产,A股,沪深A股,股票
002790,瑞尔特,A股,沪深A股,股票
600383,金地集团,A股,沪深A股,股票
600054,黄山旅游,A股,沪深A股,股票
000402,金融街,A股,沪深A股,股票
002530,金财互联,A股,沪深A股,股票
